,Filename,No.,GT,TP,FP,FN,Precision,Recall
0,1_pr_ogunet_250524.npy,0,5,3,0,2,1.0,0.6
1,1_pr_ogunet_250524.npy,1,3,1,0,2,1.0,0.3333333333333333
2,1_pr_ogunet_250524.npy,2,3,3,1,0,0.75,1.0
3,1_pr_ogunet_250524.npy,3,4,3,1,1,0.75,0.75
4,1_pr_ogunet_250524.npy,4,1,0,0,1,,0.0
5,1_pr_ogunet_250524.npy,5,4,3,1,1,0.75,0.75
6,1_pr_ogunet_250524.npy,6,2,0,0,2,,0.0
7,1_pr_ogunet_250524.npy,7,1,1,2,0,0.3333333333333333,1.0
8,1_pr_ogunet_250524.npy,8,1,1,1,0,0.5,1.0
9,1_pr_ogunet_250524.npy,9,3,2,1,1,0.6666666666666666,0.6666666666666666
10,1_pr_ogunet_250524.npy,10,1,0,1,1,0.0,0.0
11,1_pr_ogunet_250524.npy,11,1,0,0,1,,0.0
12,1_pr_ogunet_250524.npy,12,2,0,0,2,,0.0
13,1_pr_ogunet_250524.npy,13,1,1,0,0,1.0,1.0
14,1_pr_ogunet_250524.npy,14,8,7,0,1,1.0,0.875
15,1_pr_ogunet_250524.npy,15,2,2,1,0,0.6666666666666666,1.0
16,1_pr_ogunet_250524.npy,16,2,2,1,0,0.6666666666666666,1.0
17,1_pr_ogunet_250524.npy,17,3,2,0,1,1.0,0.6666666666666666
18,1_pr_ogunet_250524.npy,18,2,2,1,0,0.6666666666666666,1.0
19,1_pr_ogunet_250524.npy,19,5,3,1,2,0.75,0.6
20,1_pr_ogunet_250524.npy,20,4,4,0,0,1.0,1.0
21,1_pr_ogunet_250524.npy,21,4,2,2,2,0.5,0.5
22,1_pr_ogunet_250524.npy,22,4,3,0,1,1.0,0.75
23,1_pr_ogunet_250524.npy,23,2,1,0,1,1.0,0.5
24,1_pr_ogunet_250524.npy,24,1,0,2,1,0.0,0.0
25,1_pr_ogunet_250524.npy,25,6,4,0,2,1.0,0.6666666666666666
26,1_pr_ogunet_250524.npy,26,5,3,1,2,0.75,0.6
27,1_pr_ogunet_250524.npy,27,4,2,0,2,1.0,0.5
28,1_pr_ogunet_250524.npy,28,3,1,1,2,0.5,0.3333333333333333
29,1_pr_ogunet_250524.npy,29,3,2,1,1,0.6666666666666666,0.6666666666666666
30,1_pr_ogunet_250524.npy,30,6,4,0,2,1.0,0.6666666666666666
31,1_pr_ogunet_250524.npy,31,8,7,0,1,1.0,0.875
32,1_pr_ogunet_250524.npy,32,4,3,0,1,1.0,0.75
33,1_pr_ogunet_250524.npy,33,4,4,0,0,1.0,1.0
34,1_pr_ogunet_250524.npy,34,1,1,1,0,0.5,1.0
35,1_pr_ogunet_250524.npy,35,4,1,1,3,0.5,0.25
36,1_pr_ogunet_250524.npy,36,6,5,0,1,1.0,0.8333333333333334
37,1_pr_ogunet_250524.npy,37,1,0,2,1,0.0,0.0
38,1_pr_ogunet_250524.npy,38,2,2,1,0,0.6666666666666666,1.0
39,1_pr_ogunet_250524.npy,39,2,1,3,1,0.25,0.5
40,1_pr_ogunet_250524.npy,40,2,1,1,1,0.5,0.5
41,1_pr_ogunet_250524.npy,41,1,1,1,0,0.5,1.0
42,1_pr_ogunet_250524.npy,42,2,2,0,0,1.0,1.0
43,1_pr_ogunet_250524.npy,43,1,1,1,0,0.5,1.0
44,1_pr_ogunet_250524.npy,44,2,1,0,1,1.0,0.5
45,1_pr_ogunet_250524.npy,45,2,1,0,1,1.0,0.5
46,1_pr_ogunet_250524.npy,46,4,3,0,1,1.0,0.75
