vndb_id,vn_name,release_year,release_month,rating_bayesian,vn_vote_count
v10,narcissu,2005,8,748,5512
v100,Moshimo Ashita ga Hare Naraba (もしも明日が晴れならば),2006,1,765,132
v1000,Noel,2004,7,758,31
v10001,Furuiro Meikyuu Rondo ~HISTOIRE DE DESTIN~ (古色迷宮輪舞曲  ～HISTOIRE DE DESTIN～),2012,5,772,110
v10003,Kinoko ~Kindan no Chiryouyaku~ (きのこ～禁断の治療薬～),2002,9,,0
v10006,Princess Concerto (プリンセスコンチェルト),2005,8,,0
v1001,CARNIVAL,2004,5,722,232
v10016,Tokeijikake no Ley Line -Tasogaredoki no Kyoukaisen- (時計仕掛けのレイライン －黄昏時の境界線－),2012,6,714,1552
v10019,Cosutte! My Honey (コスって！My Honey),2001,11,642,6
v1002,Hoshiuta (ほしうた),2008,11,712,80
v10020,Koumaroku (降魔録),2001,9,,4
v10021,Kunoichiban! (くのいちばんっ！),2005,10,,4
v10022,Kura (蔵),2005,9,,2
v10026,Chu→ning Lover,2012,8,697,94
v10028,Irotoridori no Hikari (いろとりどりのヒカリ),2012,8,835,360
v10035,Uta no☆Prince-sama♪ Debut (うたの☆プリンスさまっ♪Debut),2012,5,671,43
v10036,Love★Works (らぶ★わ～くす),1999,6,,0
v1004,Minzoku Injou (民族淫嬢),2008,8,623,20
v10040,Revolver Girl ☆ Hammer Lady (リヴォルバーガール☆ハンマーレディ),2012,7,694,36
v10041,Demonion ~Maou no Chika Yousai~ (デモニオン ～魔王の地下要塞～),2012,4,718,202
v10045,Kami-sama to Koigokoro (神さまと恋ゴコロ),2012,5,657,8
v10046,Harajuku Tantei Gakuen Steel Wood (原宿探偵学園 スチールウッド),2010,4,610,6
v10047,Erect! (えれくと！),2012,6,766,176
v10050,Wand of Fortune 2 FD ~Kimi ni Sasageru Epilogue~ (ワンド オブ フォーチュン２ FD ～君に捧げるエピローグ～),2012,11,793,22
v10051,Koezaru wa Akai Hana (越えざるは紅い花),2012,9,740,136
v10069,Natural Zero+ ~Hajimari to Owari no Basho de~ (NaturalZero+ ～はじまりと終わりの場所で～),2000,12,,1
v10080,Immoral Little (インモラル・リトル),2012,5,674,85
v1009,"Asaki, Yumemishi (あさき、ゆめみし)",2008,7,728,47
v10091,Elkrone no Atelier ~Dear for Otomate~ (エルクローネのアトリエ ~Dear for Otomate~),2012,4,686,14
v10098,Hanaoni ~Yume no Tsuzuki~ (華鬼～夢のつづき～),2012,3,626,10
v10104,Grimm the Bounty Hunter (グリム・ザ・バウンティハンター),2012,7,680,9
v10105,24 Ji no Kane to Cinderella ~Halloween Wedding~ (２４時の鐘とシンデレラ ～Halloween Wedding～),2012,9,696,12
v10109,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai. (あの日見た花の名前を僕達はまだ知らない。),2012,8,742,15
v1011,Gakuen Heaven: Okawari! (学園へヴン おかわりっ!),2005,2,596,12
v10115,Bakudan★Handan (バクダン★ハンダン),2012,6,720,413
v10122,Viper-BTR ~Mahou no Tobakushi Totokaru☆Chomi~ (ＶＩＰＥＲ－ＢＴＲ ～魔法の賭博師トトカル☆チョミ～),1996,7,580,15
v10123,Natsuiro Asagao Residence (夏色あさがおレジデンス),2012,4,640,21
v1014,,2003,9,732,36
v10140,Me-ga-mi ~Megami-chan Get Daisenryaku!?~ (ME・GA・MI ～女神ちゃんGET大戦略!?～),2000,10,,1
v1015,Kin'iro no Corda 2 (金色のコルダ2),2007,3,765,26
v10154,Mojimoji Chibikko Mahou Gakuen ~Itaku Shicha Iyada yo~ (もじもじちびっ子魔法学園～痛くしちゃイヤだヨ～),2004,11,,2
v10155,Immoral Emotion (インモラル・エモーション),2002,6,641,9
v1016,Barbaroi,2004,12,684,12
v10162,Issho ni Gohan. (いっしょにごはん。),2013,1,605,23
v10170,Natsumatsuri (夏祭),1999,10,,1
v10177,Nyuuin (入院),1998,12,,2
v10178,Ojou-sama Ikemasen! (お嬢様イケませんっ！),2004,2,,0
v10180,Little Witch Reinette ~Swan no Namida Rhapsody~ (リトル・ウィッチ レネット 〜スワンの涙ラプソディ〜),1999,9,,2
v10182,Hiragumo-chan -Sengoku Gekokujou Monogatari- (平グモちゃん　―戦国下克上物語―),2012,6,702,18
v10185,Oku-sama wa Miko? (奥さまは巫女？),2001,4,,4
v10189,Omatase! Janbaraya♪ (おまたせ！雀バラや♪),2005,6,,2
v10192,One~san Day☆by☆Day (おね～さんDAY☆BY☆DAY),2004,3,,2
v102,Gekkou no Carnevale (月光のカルネヴァーレ),2006,12,789,314
v1020,Ultimate Hunter (アルティメットハンター),2002,2,634,6
v10206,Onitama (鬼魂～おにたま～),2005,1,,2
v10207,Only One 2 ~Naomi Ai no Inori ga Todoku Toki~ (オンリーワン2～なおみ　愛の祈りが届く時～),2004,12,,1
v1021,Eiyuu x Maou (英雄×魔王),2005,5,724,29
v10212,"Mahou Shoujo Pure Saints ~Makechau Tabi ni, Dondon Ecchi na Seigi no Heroine ni Natte Icchau no~ (魔法少女ピュア・セインツ～負けちゃうたびに、どんどんエッチな正義のヒロインになっていっちゃうの～)",2012,4,658,17
v10216,Berochu! ~Cosplay Maid o Ero Mero Shichau Mahou no Zetsugi~ (ベロちゅー！ ～コスプレメイドをエロメロしちゃう魔法の舌戯～),2012,5,736,81
v10217,Zettai Zetsumei Shoujo (絶体絶命少女),2012,9,608,8
v10218,Ibuki no Kiseki ~Kohaku no Omoide no Naka de Seirei wa Yume o Miru~ (イブキノキセキ ～琥珀の思い出の中で精霊は夢を見る～),2012,5,642,15
v1022,Yatohime Zankikou (夜刀姫斬鬼行),2005,12,710,21
v10229,Osananajimi no Nukumori (幼なじみのぬくもり),2005,3,,1
v1023,Scarlett (Scarlett～スカーレット～),2006,1,772,101
v10231,Corpse Party -The Anthology- Sachiko no Ren'ai Yuugi ♥ Hysteric Birthday 2U (コープスパーティー -THE ANTHOLOGY- サチコの恋愛遊戯♥Hysteric Birthday 2U),2012,8,667,225
v10234,Oshikake Princess (おしかけプリンセス),2004,3,,2
v10237,Naka no Hito nado Inai! Tokyo Hero Project (中の人などいない！ トーキョー・ヒーロー・プロジェクト),2012,7,763,175
v10238,Pure Girl (ピュアガール),2012,7,724,212
v10239,xxx na Kanojo ga Inaka Seikatsu o Mankitsu Suru Himitsu no Houhou (×××な彼女が田舎生活を満喫するヒミツの方法),2012,6,691,22
v1024,StarTRain,2006,9,747,37
v10240,Panic!! Kerokero Kingdom (ぱにっく!! けろけろ王国),2002,9,,3
v10244,Ryuuyoku no Melodia -Diva With the Blessed Dragonol- (竜翼のメロディア -Diva with the blessed dragonol-),2012,7,755,57
v10267,Pure Heart ~Sekai de Ichiban Anata ga Suki~ (Pure Heart ～世界で一番アナタが好き～),2000,7,610,6
v10268,Pure Maid ~Kisekae Shite ne~ (PURE MAID～着せかえしてね～),2004,11,,2
