music_id,vndb_id
1,v2
2,v2
4,v3
5,v3
6,v3
7,v18717
7,v3
8,v3
9,v4
10,v4
11,v4
12,v4
13,v5
14,v5
15,v5
16,v5
17,v5
18,v5
19,v5
20,v10
21,v11
22,v11
23,v11
24,v11
25,v11
26,v11
27,v11
28,v11
29,v12
30,v12
31,v13
32,v13
33,v13
34,v13
35,v14
36,v14
37,v14
38,v14
39,v14
40,v14
41,v14
42,v14
43,v16
44,v16
45,v17
46,v17
47,v17
48,v17
49,v18
50,v18
51,v19
52,v19
53,v19
53,v21129
53,v21130
53,v21131
53,v29708
54,v19
55,v19
56,v20
57,v20
58,v20
58,v90
59,v20
60,v20
61,v21
62,v21
63,v22
64,v22
65,v22
66,v22
67,v23
68,v23
69,v23
70,v23
71,v23
72,v23
73,v23
74,v2153
74,v24
75,v24
76,v24
77,v24
78,v24
79,v24
80,v25
81,v25
82,v25
83,v26
84,v26
85,v27
86,v12525
86,v28
87,v12525
87,v28
87,v8664
88,v28
89,v28
90,v28
91,v12525
91,v28
91,v8664
92,v12525
92,v28
92,v6427
93,v29
95,v32
96,v32
97,v32
98,v33
99,v33
100,v34
101,v35
102,v35
103,v35
104,v35
105,v36
106,v36
107,v36
108,v38
109,v38
110,v38
111,v38
112,v38
113,v38
114,v38
115,v38
116,v38
117,v38
118,v41
119,v42
120,v42
121,v43
122,v44
123,v45
124,v45
125,v45
126,v45
127,v50
128,v50
129,v50
130,v50
131,v50
132,v50
133,v54
134,v55
136,v57
137,v57
138,v57
139,v57
141,v65
142,v65
143,v65
144,v65
145,v66
146,v66
147,v66
148,v66
149,v68
150,v31157
150,v67
151,v68
152,v31157
153,v31157
153,v67
154,v67
155,v67
155,v68
156,v31157
156,v68
156,v68
157,v31157
157,v68
158,v31157
158,v68
159,v68
160,v68
161,v31157
161,v68
162,v31157
162,v68
163,v1542
163,v70
164,v70
165,v71
166,v73
167,v73
168,v73
169,v74
170,v74
171,v74
172,v74
173,v77
174,v77
175,v77
176,v77
177,v77
178,v77
179,v78
180,v78
181,v78
182,v78
183,v78
184,v78
186,v79
187,v79
188,v80
189,v80
190,v82
191,v82
192,v82
193,v82
194,v83
195,v83
196,v84
197,v84
198,v85
199,v85
200,v85
201,v86
202,v87
203,v87
204,v87
205,v87
206,v87
207,v87
208,v88
209,v88
210,v88
211,v88
212,v89
213,v89
214,v90
215,v92
216,v92
216,v93
217,v92
218,v92
219,v92
220,v92
221,v93
222,v93
223,v93
224,v93
225,v93
226,v93
227,v93
228,v93
229,v93
230,v358
230,v94
231,v94
232,v94
233,v94
234,v94
235,v94
236,v94
237,v95
238,v95
239,v95
240,v96
241,v96
242,v96
243,v97
244,v97
245,v98
246,v98
247,v99
248,v99
249,v99
250,v99
251,v99
252,v99
253,v99
254,v99
255,v99
256,v100
257,v100
258,v100
259,v100
260,v102
261,v102
262,v102
263,v102
264,v103
265,v103
266,v104
267,v104
268,v105
268,v1099
269,v105
269,v1099
270,v106
270,v20205
271,v106
272,v109
273,v110
274,v111
275,v112
275,v112
276,v112
277,v116
278,v117
279,v117
280,v121
281,v122
282,v122
283,v128
284,v128
285,v128
286,v128
287,v129
288,v129
289,v130
290,v130
291,v131
292,v136
293,v137
294,v141
295,v149
296,v150
297,v154
298,v155
298,v3184
299,v155
300,v155
300,v3184
301,v156
302,v156
303,v156
304,v156
305,v161
306,v162
307,v162
308,v162
309,v164
311,v165
312,v165
313,v165
314,v165
315,v165
316,v165
317,v165
318,v166
319,v166
320,v173
321,v173
322,v173
323,v173
324,v173
325,v173
326,v173
327,v174
328,v174
329,v174
330,v174
331,v175
332,v175
333,v176
334,v176
335,v176
336,v177
337,v177
338,v177
339,v177
340,v177
341,v178
342,v178
343,v178
344,v178
345,v178
346,v178
347,v178
348,v178
349,v178
350,v178
351,v178
352,v178
353,v178
354,v178
355,v178
356,v178
357,v179
358,v179
359,v179
360,v179
361,v179
362,v179
363,v180
365,v180
366,v180
367,v180
368,v180
369,v180
370,v180
371,v181
372,v181
373,v182
373,v684
374,v182
375,v182
376,v182
377,v182
378,v183
379,v183
380,v184
381,v184
382,v185
383,v185
384,v186
385,v186
386,v187
387,v187
388,v188
389,v188
390,v191
391,v191
392,v192
393,v192
394,v192
395,v193
396,v193
397,v193
398,v193
399,v193
400,v193
401,v194
402,v194
403,v195
404,v195
405,v195
406,v196
407,v196
408,v196
409,v197
410,v197
411,v198
412,v198
414,v199
415,v199
416,v199
417,v199
418,v199
419,v199
421,v15640
421,v200
422,v200
423,v200
424,v200
425,v200
426,v200
427,v201
428,v201
429,v201
430,v202
431,v202
432,v202
433,v203
434,v204
435,v204
436,v204
437,v204
438,v205
439,v205
440,v205
441,v205
442,v207
443,v207
444,v208
445,v210
446,v210
447,v211
448,v211
449,v211
450,v213
451,v213
452,v213
453,v213
454,v213
455,v213
457,v214
458,v214
459,v214
461,v214
462,v215
463,v215
464,v215
466,v216
467,v217
480,v221
481,v221
482,v221
483,v223
484,v223
485,v228
486,v228
487,v228
488,v231
489,v231
490,v231
491,v231
492,v231
493,v231
494,v232
495,v232
495,v232
496,v232
497,v232
498,v232
499,v234
500,v234
501,v234
502,v235
505,v236
506,v236
507,v236
508,v236
509,v237
510,v237
511,v238
512,v238
513,v238
514,v238
515,v238
516,v243
517,v247
518,v247
519,v247
520,v247
521,v248
522,v248
523,v248
524,v249
525,v249
526,v249
527,v250
528,v250
529,v251
530,v252
531,v252
532,v254
533,v254
534,v254
535,v255
536,v255
537,v256
538,v256
540,v258
541,v261
542,v262
543,v264
543,v266
544,v264
545,v1708
545,v264
546,v264
547,v264
548,v264
548,v266
549,v264
550,v265
552,v266
552,v266
553,v266
554,v266
555,v266
556,v266
557,v266
558,v266
559,v266
559,v266
560,v266
561,v266
562,v266
563,v267
564,v267
565,v267
566,v273
567,v273
568,v1708
568,v273
569,v273
570,v273
571,v273
572,v273
573,v273
574,v273
575,v273
576,v273
577,v273
578,v273
579,v273
580,v273
581,v275
582,v275
583,v276
584,v276
585,v276
586,v276
587,v276
588,v277
589,v278
590,v279
591,v279
592,v284
593,v284
594,v285
595,v285
596,v292
597,v292
598,v294
599,v297
600,v299
601,v300
602,v300
603,v300
604,v300
605,v302
606,v304
607,v305
608,v306
609,v306
610,v307
611,v309
612,v309
613,v310
614,v310
615,v311
616,v311
618,v312
619,v313
620,v313
620,v316
620,v317
621,v316
621,v317
622,v316
622,v317
623,v318
624,v318
625,v318
626,v318
627,v322
628,v323
629,v323
630,v323
631,v323
632,v323
633,v323
634,v323
636,v323
638,v324
639,v325
640,v325
641,v328
642,v330
643,v335
644,v335
645,v336
646,v336
647,v336
648,v337
651,v339
653,v341
654,v341
655,v342
656,v342
657,v343
658,v343
659,v345
660,v345
661,v347
662,v348
663,v349
664,v351
665,v351
666,v351
667,v353
669,v356
670,v356
671,v357
672,v358
673,v358
675,v359
676,v361
677,v362
678,v362
679,v362
680,v362
681,v362
682,v362
683,v362
684,v363
685,v363
686,v364
687,v364
688,v364
689,v364
690,v367
691,v367
692,v368
692,v732
693,v368
693,v732
693,v7835
695,v369
696,v1967
696,v369
697,v16463
697,v369
698,v370
699,v26960
699,v370
700,v370
701,v370
702,v370
703,v370
704,v370
705,v370
706,v370
707,v370
708,v371
709,v372
710,v372
711,v373
711,v374
711,v375
711,v376
711,v377
711,v383
712,v373
713,v374
714,v375
715,v376
716,v377
717,v380
718,v380
720,v22505
720,v382
721,v22505
721,v382
722,v382
723,v382
724,v383
725,v383
726,v383
728,v383
729,v384
730,v384
731,v384
732,v384
733,v384
734,v384
735,v385
737,v387
738,v387
739,v389
741,v392
743,v393
744,v393
745,v394
746,v394
747,v395
748,v395
749,v397
749,v399
750,v397
750,v399
750,v50458
752,v398
753,v398
754,v400
755,v400
756,v400
757,v400
758,v401
759,v401
760,v402
761,v402
762,v403
763,v403
764,v404
765,v404
766,v32788
766,v32789
766,v405
767,v407
768,v408
769,v408
770,v408
771,v408
772,v408
773,v408
776,v409
778,v409
779,v409
780,v410
781,v412
782,v412
783,v412
784,v412
785,v413
786,v413
787,v413
788,v414
789,v414
790,v414
791,v414
792,v414
793,v414
794,v414
795,v414
796,v414
797,v414
798,v414
799,v414
800,v414
801,v414
802,v414
803,v414
804,v414
805,v414
806,v414
807,v415
808,v415
809,v417
810,v417
811,v418
812,v418
813,v418
814,v419
815,v420
816,v420
817,v420
818,v420
819,v420
820,v420
821,v420
822,v421
823,v421
824,v421
825,v421
826,v421
827,v421
828,v421
830,v423
831,v423
832,v424
833,v424
834,v424
835,v425
836,v33222
836,v425
837,v427
838,v427
839,v428
840,v428
841,v428
842,v429
843,v429
846,v430
847,v430
848,v431
849,v431
850,v431
851,v431
852,v431
853,v432
854,v432
855,v432
856,v432
857,v432
858,v433
859,v433
860,v434
861,v434
862,v434
863,v434
864,v434
865,v434
866,v434
867,v434
868,v434
869,v436
870,v436
871,v436
872,v436
873,v436
874,v436
875,v436
876,v438
877,v439
878,v440
879,v440
880,v440
880,v441
881,v440
882,v440
883,v440
884,v440
885,v440
886,v441
887,v441
888,v442
889,v443
890,v443
891,v443
892,v443
893,v32759
893,v443
895,v444
896,v445
897,v445
899,v446
900,v446
901,v449
902,v450
903,v451
904,v451
905,v452
906,v453
907,v454
908,v454
909,v455
910,v456
911,v458
912,v459
913,v461
914,v461
915,v462
916,v464
917,v465
918,v465
919,v466
920,v466
921,v466
922,v467
923,v467
924,v467
925,v467
926,v467
927,v467
928,v467
929,v467
930,v471
931,v471
932,v472
933,v472
934,v472
935,v473
935,v473
935,v561
936,v473
937,v473
937,v561
938,v473
939,v474
940,v474
941,v475
942,v475
943,v475
944,v477
945,v479
946,v480
948,v481
949,v481
950,v481
951,v482
952,v482
953,v483
954,v483
955,v483
956,v484
957,v484
958,v485
959,v486
960,v486
961,v488
962,v25996
962,v489
963,v490
964,v492
965,v492
966,v492
967,v492
968,v494
970,v499
971,v500
972,v500
973,v503
974,v503
975,v504
976,v504
977,v505
978,v506
979,v506
980,v507
981,v508
982,v509
983,v510
984,v511
985,v511
987,v513
988,v513
989,v515
990,v515
991,v515
991,v916
992,v515
992,v916
993,v516
994,v516
996,v518
997,v519
998,v519
999,v519
1000,v520
1001,v520
1002,v521
1003,v521
1004,v522
1005,v525
1006,v525
1008,v528
1009,v528
1009,v596
1010,v529
1011,v529
1012,v529
1013,v529
1014,v530
1015,v530
1016,v1210
1016,v530
1017,v1210
1017,v530
1018,v531
1019,v531
1020,v532
1021,v532
1022,v533
1023,v535
1024,v536
1025,v536
1026,v537
1027,v537
1028,v537
1029,v537
1030,v538
1031,v538
1032,v539
1033,v539
1034,v540
1035,v540
1035,v541
1036,v541
1037,v542
1038,v542
1040,v543
1041,v543
1042,v543
1043,v544
1044,v545
1045,v546
1046,v547
1047,v547
1048,v547
1049,v547
1050,v548
1051,v548
1052,v548
1053,v548
1054,v548
1055,v550
1056,v551
1057,v551
1058,v552
1059,v553
1060,v555
1061,v556
1062,v560
1063,v561
1064,v561
1065,v561
1066,v561
1067,v562
1068,v562
1069,v562
1070,v562
1070,v562
1071,v562
1072,v562
1073,v562
1074,v564
1075,v564
1077,v565
1078,v565
1079,v566
1080,v566
1081,v566
1082,v566
1083,v567
1084,v567
1085,v568
1086,v570
1087,v570
1088,v571
1090,v572
1091,v572
1092,v572
1093,v573
1094,v573
1095,v573
1096,v573
1097,v574
1099,v574
1100,v575
1101,v575
1102,v575
1103,v577
1104,v578
1105,v578
1106,v579
1107,v579
1108,v580
1109,v580
1110,v581
1111,v581
1112,v581
1113,v581
1114,v581
1115,v581
1116,v582
1117,v583
1118,v584
1119,v584
1120,v586
1121,v586
1122,v587
1123,v587
1124,v589
1125,v589
1126,v590
1127,v590
1128,v591
1129,v591
1130,v592
1131,v592
1132,v593
1133,v593
1134,v594
1135,v594
1136,v595
1137,v595
1138,v597
1139,v598
1140,v598
1141,v600
1142,v600
1143,v603
1144,v604
1145,v604
1146,v604
1150,v606
1151,v607
1152,v609
1153,v610
1154,v612
1155,v612
1156,v613
1157,v613
1158,v614
1159,v614
1160,v615
1162,v616
1163,v617
1164,v617
1165,v617
1166,v617
1167,v617
1168,v618
1169,v619
1170,v619
1171,v620
1172,v621
1174,v622
1175,v624
1176,v625
1177,v625
1178,v626
1179,v626
1180,v627
1182,v628
1183,v628
1184,v3271
1184,v629
1185,v1307
1185,v629
1186,v629
1187,v629
1188,v630
1189,v630
1190,v631
1191,v632
1192,v632
1193,v633
1194,v633
1196,v635
1197,v636
1198,v637
1199,v637
1200,v638
1201,v638
1203,v640
1204,v640
1205,v641
1206,v641
1207,v642
1208,v643
1209,v644
1210,v645
1211,v645
1212,v645
1213,v646
1214,v646
1215,v646
1216,v647
1217,v647
1218,v648
1219,v648
1220,v648
1221,v648
1222,v648
1223,v648
1224,v648
1225,v649
1226,v649
1227,v649
1228,v650
1229,v652
1230,v652
1231,v655
1232,v655
1233,v656
1234,v657
1235,v657
1236,v658
1237,v658
1238,v659
1239,v659
1240,v660
1241,v662
1242,v663
1243,v664
1244,v664
1245,v664
1246,v664
1247,v665
1249,v665
1250,v5937
1250,v666
1251,v666
1252,v1478
1252,v666
1253,v1478
1253,v666
1254,v1478
1254,v666
1254,v666
1255,v668
1256,v668
1257,v669
