music_id,music_type,music_name,stat_correct,stat_played,stat_guessed,stat_averageguessms,avg_vote,music_vote_count
1,Insert,Shiosai no Melody,6,43,20,17666,,0
2,Insert,Message,30,162,81,15496,76.6666666666666667,3
4,Insert,Unmei -SADAME-,96,269,201,13821,60.0000000000000000,5
5,Ending,Towa (Towa) ni,92,278,209,19055,75.0000000000000000,5
6,Opening,Kimi Dake no Tabiji,1776,3114,2352,15244,75.0000000000000000,30
7,Ending,Kimi ga Tame,326,554,410,14095,87.5000000000000000,10
7,Insert,Kimi ga Tame,326,554,410,14095,87.5000000000000000,10
8,Opening,Kimi Dake no Tabiji Re:boot,1210,2225,1795,13363,75.0000000000000000,25
9,Opening,Mag Mell,5161,7618,6201,13826,74.2307692307692308,65
10,Ending,-Kage Futatsu-,1528,2760,2136,12223,87.3750000000000000,40
11,Ending,Chiisana Te no Hira,2368,3360,2776,14647,88.7500000000000000,40
12,Insert,Ana,1414,2233,1785,10858,75.7142857142857143,35
13,Opening,Little Busters,5368,6930,6171,18037,92.7272727272727273,77
14,Ending,Alicemagic,3120,4966,3848,14723,89.2307692307692308,65
15,Ending,Ame Nochi Hare,1232,2328,1608,16088,75.0000000000000000,40
16,Ending,Song for friends,2052,3321,2529,14535,94.4444444444444444,45
17,Insert,Haruka Kanata,756,1452,1012,16749,90.0000000000000000,20
18,Ending,Little Busters -Little Jumper- ver.,1076,1384,1208,15025,83.5000000000000000,20
19,Ending,Saya's Song,1859,3520,2904,13958,84.6363636363636364,55
20,Insert,I am here,49,299,147,17314,75.0000000000000000,5
21,Ending,days,220,1445,755,12490,63.0000000000000000,35
22,Opening,Ougon no Kagayaki,438,1326,810,10528,73.3333333333333333,21
23,Ending,Link,264,1536,792,16269,59.0000000000000000,24
24,Opening,THIS ILLUSION,1776,2712,2100,15424,80.8333333333333333,24
25,Insert,Yume no Owari,396,2082,1290,19099,88.5000000000000000,30
26,Opening,ARCADIA,468,966,688,16048,77.5000000000000000,10
27,Opening,HORIZON,788,1640,1224,15021,80.0000000000000000,20
28,Opening,Another Heaven,657,1425,1026,16389,56.6666666666666667,15
29,Opening,Light colors,864,2304,1647,14355,94.4444444444444444,45
30,Ending,Life is like a melody,285,870,645,12746,92.0000000000000000,25
31,Ending,Darkness of chaos,141,609,303,16435,78.3333333333333333,15
32,Opening,Uchuu no Stencil,260,1116,656,15817,56.5000000000000000,20
33,Ending,Kirenai Knife,16,312,162,22532,79.5000000000000000,8
34,Opening,Little prophet,560,1535,930,13999,78.4000000000000000,25
35,Opening,Still I Love You ~Mitsumeru yori wa Shiawase~,96,255,154,11393,,0
36,Ending,Secret Zaurus,27,95,55,15026,69.0000000000000000,5
37,Ending,Futari no Christmas,25,114,76,12903,70.0000000000000000,5
38,Ending,Anata ga... Inai,72,177,108,10571,81.6666666666666667,3
39,Ending,Kanashimi no Mukou e,141,339,249,6188,86.6666666666666667,12
40,Insert,Let Me Love You,36,120,73,13230,69.0000000000000000,1
41,Ending,"Hello, My Happiness",18,89,45,14759,,0
42,Ending,Bye-Bye Tears,14,80,43,11756,,0
43,Opening,Fuyu da yori,2,14,7,16769,54.0000000000000000,1
44,Ending,Yakusoku ~resume~,2,13,6,13702,59.0000000000000000,4
45,Opening,LeMU ~Harukanaru Lemuria Tairiku~,740,2050,1385,14081,89.0000000000000000,25
46,Ending,Aqua Stripe,126,666,384,14476,80.3333333333333333,15
47,Opening,It's a fine day,588,2304,1560,12992,79.5000000000000000,30
48,Ending,The Azure ~Ao no Kioku~,54,360,222,10247,65.5000000000000000,6
49,Opening,Brand-new Heart,32,112,62,13400,70.0000000000000000,4
50,Ending,Atarashii Yokan,6,48,19,7033,,0
51,Ending,Memeshii Yarou,9,47,21,2959,100.0000000000000000,4
52,Insert,Koi wa Hodohodo ni,17,99,38,14697,,0
53,Opening,Tokimeki,250,755,455,17396,,0
54,Ending,Futari no Toki,10,39,24,12215,,0
55,Ending,Motto Koi Shiyou,8,48,20,14645,,0
56,Ending,Arigatou,18,90,61,13623,,0
57,Opening,Heart to Heart,258,684,414,15887,78.3333333333333333,12
58,Ending,Cosmos no you ni,30,196,146,8915,70.0000000000000000,4
59,Insert,Hoshi no Uta,13,77,46,14148,,0
