vn_id,rid,vn_title,age_rating,vn_length_str,vn_length_h,has_anime,is_nukige
v1,r1,Minna de Nyan Nyan,18,10-30 h,13.089,f,t
v2,r4,Kana ~Imouto~,18,10-30 h,11.163,f,f
v3,r5301,Utawarerumono,18,10-30 h,38.061,t,f
v4,r302,CLANNAD,0,50+ h,80.436,t,f
v5,r1584,Little Busters!,0,50+ h,89.797,t,f
v6,r179,Yukibana -Kira-,18,0-2 h,0.898,f,f
v7,r7209,Tsukihime,18,30-50 h,40.799,t,f
v8,r176,Natsu no Hi no Resonance,0,0-2 h,1.176,f,f
v9,r72555,Bible Black -La noche de walpurgis-,18,10-30 h,12.713,t,t
v10,r22,narcissu,0,2-10 h,3.097,f,f
v11,r349,Fate/stay night,15,50+ h,87.647,t,f
v12,r1892,Tomoyo After ~It's a Wonderful Life~,0,10-30 h,15.049,f,f
v13,r86693,Remember11 -the age of infinity-,0,10-30 h,26.564,f,f
v14,r200,School Days,18,30-50 h,29.816,t,f
v15,r203,MOON.,18,10-30 h,11.742,f,f
v16,r14870,Yunohana,0,10-30 h,20.592,f,f
v17,r329,Ever17 -the out of infinity-,15,30-50 h,31.918,f,f
v18,r5310,To Heart,18,10-30 h,101.567,t,f
v19,r213,Tokimeki Memorial,12,30-50 h,27.361,t,f
v20,r2446,ToHeart2,15,30-50 h,45.771,t,f
v21,r227,Tenshi no Inai 12-gatsu,18,10-30 h,13.425,f,f
v22,r231,Katahane,15,10-30 h,22.890,f,f
v23,r233,"Itsuka, Todoku, Ano Sora ni.",0,10-30 h,32.186,f,f
v24,r238,Umineko no Naku Koro ni,17,50+ h,78.281,t,f
v25,r239,Ayakashi,18,30-50 h,38.000,t,f
v26,r242,Seinarukana -The Spirit of Eternity Sword 2-,18,50+ h,114.306,f,f
v27,r312,Separate Hearts,12,10-30 h,31.633,f,f
v28,r52,SHUFFLE!,18,30-50 h,23.207,t,f
v29,r57,Crescendo ~Eien da to Omotte Ita Ano Koro~,18,10-30 h,15.516,f,f
v30,r61,Yo-Jin-Bo ~Unmei no Freude~,0,2-10 h,11.017,f,f
v31,r64,Gimai - Hitomi,18,2-10 h,10.643,f,t
v32,r63,Natsuiro no Sunadokei,0,10-30 h,16.000,t,f
v33,r66,Kanon,18,10-30 h,33.366,t,f
v34,r12250,planetarian ~Chiisana Hoshi no Yume~,0,2-10 h,4.133,t,f
v35,r74,Wind -a breath of heart-,18,10-30 h,12.613,t,f
v36,r88,AIR,18,10-30 h,29.521,t,f
v37,r79,Kusarihime ~Euthanasia~,18,10-30 h,15.875,f,f
v38,r81,Symphonic Rain,0,30-50 h,32.946,f,f
v39,r83,40-nichi 40-ya no Ame,0,0-2 h,1.623,f,f
v40,r85,The noose,0,2-10 h,1.423,f,f
v41,r1335,Yu-u-e-n-chi,18,10-30 h,10.083,f,f
v42,r91,Koiyoubi,18,10-30 h,6.200,f,f
v43,r94,Xchange,18,2-10 h,3.346,f,t
v44,r3408,Yume Miru Kusuri,18,10-30 h,16.768,f,t
v45,r106,Phantom -PHANTOM OF INFERNO-,18,10-30 h,22.266,t,f
v46,r113,Sagara-sanchi no Etsuraku Life ♪,18,10-30 h,12.764,f,t
v47,r346,Kagetsu Tooya,18,10-30 h,19.501,f,f
v48,r118,RADICAL DREAMERS -Nusumenai Houseki-,0,2-10 h,3.333,f,f
v49,r342,Tsukihime PLUS-DISC,0,0-2 h,1.651,f,f
v50,r133299,Fate/hollow ataraxia,0,30-50 h,54.878,t,f
v51,r268,ONE ~Kagayaku Kisetsu e~,18,10-30 h,24.231,t,f
v52,r134,Tokoyo no Hoshizora,0,2-10 h,3.035,f,f
v53,r136,Otoko Dogeza Jigoku,0,0-2 h,0.492,f,f
v54,r17097,Shiawase no Katachi,18,30-50 h,13.833,f,f
v55,r140,Ishika to Honori,18,2-10 h,4.367,f,f
v56,r142,Piece of Wonder,0,10-30 h,27.000,f,f
v57,r1900,"Sharin no Kuni, Himawari no Shoujo",18,10-30 h,30.994,f,f
v58,r145,Mukou no Yume,0,0-2 h,0.292,f,f
v59,r147,Hoshi no Furu Oka,0,0-2 h,0.667,f,f
v60,r149,Ai Yori Aoshi,0,2-10 h,5.444,t,f
v61,r151,Hitonatsu no Yume,0,2-10 h,2.725,f,f
v62,r153,Manatsu no Kagerou,0,0-2 h,0.596,f,f
v63,r155,Dragonia,15,2-10 h,3.000,f,f
v64,r20031,Private Nurse,18,10-30 h,11.250,f,f
v66,r24037,CROSS†CHANNEL,18,30-50 h,31.978,f,f
v67,r253,Higurashi no Naku Koro ni,17,30-50 h,53.244,t,f
v68,r258,Higurashi no Naku Koro ni Kai,17,50+ h,67.992,t,f
v69,r263,Higurashi no Naku Koro ni Rei,0,2-10 h,7.391,t,f
v70,r5116,narcissu -SIDE 2nd-,0,2-10 h,4.567,f,f
v71,r164,Yukizakura,18,10-30 h,18.569,f,f
v72,r165,Watashi no Kuroneko,0,0-2 h,0.700,f,f
v73,r76475,Summer Days,0,10-30 h,31.000,f,f
v74,r304,Eien no Aselia -The Spirit of Eternity Sword-,18,50+ h,71.783,t,f
