rid,producer
r1,Yamikumo-Communications
r2,age
r8,age
r19,KID
r22,Stage-nana
r25,NITRO PLUS
r28,SUCCESS
r29,CIRCUS
r33,Palette
r35,ZyX
r44,FLAT
r44,Regista
r44,Yeti
r45,Studio e.go!
r50,Kotonoha Meikyuu
r52,Navel
r53,Trabulance
r56,GIGA
r57,D.O.
r59,CROWD
r61,TwoFive
r64,Mercure
r66,Key
r74,minori
r76,JAST
r76,"JAST Co., Ltd."
r79,Liar-soft
r83,ZIGZAG
r85,ZIGZAG
r88,Key
r89,Custom Software
r91,Actress
r94,CROWD
r97,Libido
r103,Sekilala
r106,NITRO PLUS
r107,C's Ware
r108,Ignition
r110,CROWD
r113,ZyX
r115,Trabulance
r117,Langmaor
r118,Square Co.
r118,St.GIGA
r122,Vivid Color
r124,ZyX
r126,ZeroCool
r134,Team Extra
r136,Hanpamania-Soft
r140,Azurite
r142,Studio Crossfire
r145,Treasures
r147,Ebi Shuumai II
r149,KID
r151,milkcat
r153,Shima Sakura
r155,Hirameki International
r161,CROWD
r163,CROWD
r164,D.O.
r165,Natukusa
r172,Sekilala
r176,Saitou Kagura
r178,ZyX
r179,Tinsmith
r187,ZyX
r191,Guilty
r199,AngelSmile
r200,0verflow
r203,Tactics
r208,Trabulance
r211,AQUAPLUS
r212,Sekilala
r213,KONAMI
r217,Langmaor
r227,Leaf
r231,Tarte
r233,Lump of Sugar
r238,07th Expansion
r239,ApRicoT
r239,CROSSNET
r240,ApRicoT
r240,CROSSNET
r242,Xuse
r242,Xuse [Honjouzou]
r246,D.O.
r253,07th Expansion
r257,Alchemist
r258,07th Expansion
r263,07th Expansion
r268,Tactics
r297,AQUAPLUS
r297,Leaf
r302,Key
r304,Xuse
r304,Xuse [Honjouzou]
r306,Xuse
r306,Xuse [Honjouzou]
r312,KID
r314,ZyX
r329,KID
r333,CIRCUS
r334,CIRCUS
r342,TYPE-MOON
r346,TYPE-MOON
r349,TYPE-MOON
r369,La'cryma
r387,AKABEiSOFT2
r396,Leaf
r397,ZIGZAG
r402,Sekilala
r406,D.O.
r410,ZyX
r416,JAST
r416,"JAST Co., Ltd."
r418,age
r419,minori
r420,Alice Soft
r421,minori
r424,French-Bread
r424,TYPE-MOON
r426,AUGUST
r431,Twincle Drop
r445,Cocktail Soft
r445,"F&C Co., Ltd."
r451,Leaf
r457,minori
r459,minori
r460,HOOKSOFT
r461,Leaf
r464,NITRO PLUS
r465,Leaf
r467,elf
r479,NekoNeko Soft
r495,Petit Ferret
r511,Navel
r512,Navel
r514,elf
r515,Leaf
r522,CODEPINK
r524,milkcat
r527,Blank Note
r528,AKABEiSOFT2
r549,Data East Corporation
r551,Data East Corporation
r551,Sakata SAS
r551,Studio Line
r552,NEC Interchannel
r568,17
r571,TMS
r574,17
r579,KEN and Beniiro
r582,ocelot
r588,Eno Yamamoto Ten
r590,Luna Bless
r594,NITRO PLUS
r600,NITRO PLUS
r604,Leaf
r605,Leaf
r608,Leaf
r613,ZIGZAG
r614,Orbit
r614,ROOT
r619,Orbit
r619,ROOT
r634,Bloom Handle
r670,CIRCUS
r679,CIRCUS
r686,CIRCUS
r701,Dennou Club
r702,Studio e.go!
r711,Black Package Try
r712,Nokka~
r714,Komineto
r718,Jewel Box
r720,17
r722,Endou Kenji
r724,Eno Yamamoto Ten
r726,Eno Yamamoto Ten
r728,Esuhara
r730,CLOCKUP
r730,CLOCKUP team.DYO
r738,Alice Soft
r740,Alice Soft
r742,Black Cyc
r754,GIGA
r754,Team Baldrhead
r756,GIGA
r756,Team Baldrhead
r765,Alice Soft
r767,Talisman
r770,CIRCUS
r776,CIRCUS
r791,Black Cyc
r802,Alice Soft
r815,FAVORITE
r819,AXL
r820,BISHOP
r823,Atelier Kaguya
r823,Atelier Kaguya TEAM HEARTBEAT
r824,BLACK PACKAGE
r827,BISHOP
r833,age
r840,Windmill Oasis
r849,BaseSon
r853,AXL
r856,Circus Fetish
r857,Circus Fetish
r858,Circus Fetish
r859,Circus Fetish
r860,Circus Fetish
r868,CIRCUS
r881,Complet's
r882,CandySoft
r884,CandySoft
r886,MAGES.
r886,NITRO PLUS
r891,Atelier Kaguya
r891,Atelier Kaguya TEAM HEARTBEAT
r893,age
r895,age
r904,CIRCUS
r904,Joker
r905,CIRCUS
r915,Liar-soft
r927,Meteor
r929,NITRO PLUS
r932,NITRO PLUS
r934,NITRO PLUS
r937,NITRO CHiRAL
r939,NITRO PLUS
r943,NITRO CHiRAL
r947,NITRO PLUS
r960,age
r963,age
r964,propeller
r965,Leaf
r974,SofthouseChara
r982,Atelier Kaguya
r982,Atelier Kaguya BerkshireYorkshire
r992,MOONSTONE
r996,MOONSTONE
r1003,elf
r1006,Makura
r1010,Crossnet-Pie
r1011,Crossnet-Pie
r1021,FAVORITE
r1025,Alice Soft
r1027,Cyc
r1036,Alice Soft
r1045,elf
r1049,Alice Soft
r1050,elf
r1050,Nude Maker
r1053,JANIS
r1055,Eushully
r1058,Eushully
r1068,Eufonie
r1070,HeartBring
r1080,LiLiM
r1081,Studio e.go!
r1088,Score [Shukoa!]
r1089,Liar-soft
r1103,Anastasia
r1103,Eushully
r1106,Caramel BOX
r1127,FlyingShine Black
r1133,light
r1140,"F&C Co., Ltd."
r1140,F&C FC01
r1146,Fizz
r1148,Gainax
r1155,Eushully
r1159,Makura
r1160,Makura
r1162,Innocent Grey
r1164,Princess Soft
r1175,Littlewitch
r1191,Minato Soft
r1193,ninetail
r1199,130cm
r1211,Liar-soft
r1213,Liar-soft
r1214,Liar-soft
r1216,Liar-soft
r1218,Liar-soft
r1226,Lost Script
r1228,light
r1240,Navel
r1245,Studio e.go!
r1262,Syangrila
r1263,Siesta
r1277,rúf
r1288,Karin Entertainment
r1290,propeller
r1304,Pajamas Soft
r1308,Chunsoft
r1319,Terios
r1320,Tactics
r1323,BaseSon
r1334,Frontwing
r1337,Abel
r1337,Imadio
r1357,GIGA
r1360,GIGA
r1363,GIGA
r1372,Whirlpool
r1380,Marvelous Inc.
r1383,Cing
r1383,Nintendo
r1387,"Banpresto Co., Ltd."
r1387,Gust
r1389,ωstar
r1398,SUCCESS
r1401,"CAPCOM Co., Ltd."
r1410,"CAPCOM Co., Ltd."
r1414,"CAPCOM Co., Ltd."
r1420,Cing
r1420,Nintendo
r1430,HARD
r1430,INOS
r1433,elf
r1445,Gainax
r1467,Bandai Namco Entertainment Inc.
r1467,guyzware
r1478,C's Ware
r1483,ScooP
r1486,ScooP
r1491,Black Cyc
r1499,ZIGZAG
r1500,"Banpresto Co., Ltd."
r1500,Pandora Box
r1505,Nanakorobi Hachikorogari
r1508,Yuzusoft
r1535,Frontwing
r1541,Frontwing
r1544,Frontwing
r1549,Eushully
r1550,Eushully
r1552,Eushully
r1554,Lune
r1554,Marigold
r1555,Navel
r1556,Ciel
r1575,CONCEPT
r1578,Heat-Soft
r1584,Key
r1586,Makura
r1600,Kogado Studio
r1600,Kuma-san Team
r1603,QuinRose
r1608,Shiratama
r1608,"Silver Bullet Co., Ltd."
r1614,Ribbon Magic
r1614,Tiaramode
r1615,CODEPINK
r1645,Winters
r1648,Phi Age
r1659,Xuse
r1660,RAM
r1665,Ail
r1665,Ail [Team Ru~ny]
r1671,Navel
r1683,Alice Soft
r1685,Spray
r1688,Interchannel
r1688,Spray
r1690,QuinRose
r1693,KID
r1697,KONAMI
r1699,Purple software
r1722,Kogado Studio
r1722,Kuroneko-san Team
r1724,Kidnap Company
r1726,HAL Laboratory
r1731,ASCII Corporation
r1731,Bits Laboratory
r1735,Taito Corporation
r1738,SofthouseChara
r1743,Alice Soft
r1744,Alice Soft
r1768,Liquid
r1776,Liquid
r1779,Liquid
